bank,review,sentiment_label,sentiment_score,identified_theme
Commercial Bank of Ethiopia,. Reviewing content on Play is a great way to share helpful feedback and assist other Play users in finding great content and services,positive,0.9517,Customer Support
Commercial Bank of Ethiopia,So bad now and hard to use,negative,-0.6361,Other
Commercial Bank of Ethiopia,"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",positive,0.9049,Account Access Issues
Commercial Bank of Ethiopia,v.good app,neutral,0.0,Other
Commercial Bank of Ethiopia,very good app,positive,0.4927,Other
Commercial Bank of Ethiopia,Very amazing app indeed. I'm enjoying it,positive,0.8173,Other
Commercial Bank of Ethiopia,20 years,neutral,0.0,Other
Commercial Bank of Ethiopia,A great app. It's like carrying a bank in your pocket.,positive,0.765,Other
Commercial Bank of Ethiopia,More than garrantty bank EBC.,neutral,0.0,Other
Commercial Bank of Ethiopia,really am happy to this app it is Siple to use everything,positive,0.6096,Other
Commercial Bank of Ethiopia,I liked this app. But the User interface is very basic and not attractive at all.,negative,-0.298,UI/UX
Commercial Bank of Ethiopia,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",positive,0.6369,"Transaction Performance, Customer Support"
Commercial Bank of Ethiopia,what is this app problem???,negative,-0.5007,Other
Commercial Bank of Ethiopia,the app is proactive and a good connections.,positive,0.6908,Other
Commercial Bank of Ethiopia,I cannot send to cbebirr app. through this app.,neutral,0.0,Other
Commercial Bank of Ethiopia,not functional,neutral,0.0,Other
Commercial Bank of Ethiopia,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",positive,0.1739,Customer Support
Commercial Bank of Ethiopia,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,neutral,0.0,Other
Commercial Bank of Ethiopia,bezabih,neutral,0.0,Other
Commercial Bank of Ethiopia,Best Mobile Banking app ever,positive,0.6369,Other
Commercial Bank of Ethiopia,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,positive,0.6369,Transaction Performance
Commercial Bank of Ethiopia,very niec,neutral,0.0,Other
Commercial Bank of Ethiopia,best app of finance,positive,0.6369,Other
Commercial Bank of Ethiopia,yetemeta,neutral,0.0,Other
Commercial Bank of Ethiopia,Engida Kebede Fetera,neutral,0.0,Other
Commercial Bank of Ethiopia,it is not safety,negative,-0.3252,Other
Commercial Bank of Ethiopia,NICE bank,positive,0.5473,Other
Commercial Bank of Ethiopia,it is like a childish app make it better the worst I have ever seen,negative,-0.2263,Other
Commercial Bank of Ethiopia,"It's a problem solver application, go ahead CBE, I love so much.",positive,0.3612,Other
Commercial Bank of Ethiopia,It's good but try to make it facilitate for your client,positive,0.2382,Other
Commercial Bank of Ethiopia,best app,positive,0.6369,Other
Commercial Bank of Ethiopia,Awesome bank,positive,0.6249,Other
Commercial Bank of Ethiopia,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,positive,0.9536,"Account Access Issues, Transaction Performance, Feature Requests"
Commercial Bank of Ethiopia,Masha alla,neutral,0.0,Other
Commercial Bank of Ethiopia,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,-0.3174,Other
Commercial Bank of Ethiopia,better service,positive,0.4404,Other
Commercial Bank of Ethiopia,"it,s good app and time manager 👍",positive,0.4404,Other
Commercial Bank of Ethiopia,malkaamuu Jiidhaa Namoo,neutral,0.0,Other
Commercial Bank of Ethiopia,lower system everything,negative,-0.296,Other
Commercial Bank of Ethiopia,Keep it up My CBE,neutral,0.0,Other
Commercial Bank of Ethiopia,yes good,positive,0.6808,Other
Commercial Bank of Ethiopia,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,-0.8176,Transaction Performance
Commercial Bank of Ethiopia,i like everything of this app,positive,0.3612,Other
Commercial Bank of Ethiopia,🤬🤬🤬🤬 network 🛜,neutral,0.0,Other
Commercial Bank of Ethiopia,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,0.9041,Other
Commercial Bank of Ethiopia,good job,positive,0.4404,Other
Commercial Bank of Ethiopia,it's awesome!!,positive,0.6892,Other
Commercial Bank of Ethiopia,thankyou every one,neutral,0.0,Other
Commercial Bank of Ethiopia,Ronaldo 🇵🇹 🥇,neutral,0.0,Other
Commercial Bank of Ethiopia,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",positive,0.9379,Customer Support
Commercial Bank of Ethiopia,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",negative,-0.7841,"Account Access Issues, Transaction Performance, Feature Requests"
Commercial Bank of Ethiopia,mortuary app,neutral,0.0,Other
Commercial Bank of Ethiopia,it is smart app but it has stoped after some period of time on my device with out any reason .,positive,0.2144,Other
Commercial Bank of Ethiopia,amazing app I am used this app for one year,positive,0.5859,Other
Commercial Bank of Ethiopia,good app,positive,0.4404,Other
Commercial Bank of Ethiopia,i love it 😍😘,positive,0.6369,Other
Commercial Bank of Ethiopia,It makes life easy!👌,neutral,0.0,UI/UX
Commercial Bank of Ethiopia,its not fast,neutral,0.0,Other
Commercial Bank of Ethiopia,it is sooo good,positive,0.4404,Other
Commercial Bank of Ethiopia,excellent,positive,0.5719,Other
Commercial Bank of Ethiopia,Fantastic,positive,0.5574,Other
Commercial Bank of Ethiopia,accessible to using,neutral,0.0,Account Access Issues
Commercial Bank of Ethiopia,I like it,positive,0.3612,Other
Commercial Bank of Ethiopia,why you change default network?,neutral,0.0,Other
Commercial Bank of Ethiopia,very nice 👍,positive,0.4754,Other
Commercial Bank of Ethiopia,nice fast app,positive,0.4215,Other
Commercial Bank of Ethiopia,how to I get my money,neutral,0.0,Other
Commercial Bank of Ethiopia,"Very bad, can't even load they need to improve their services.",negative,-0.2247,Other
Commercial Bank of Ethiopia,"Very good app, but please make it reliable . it crashes sometimes .",positive,0.6183,Other
Commercial Bank of Ethiopia,very busy I don't know why... I prefer 889,neutral,0.0,Other
Commercial Bank of Ethiopia,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",negative,-0.7184,Other
Commercial Bank of Ethiopia,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,negative,-0.3804,Other
Commercial Bank of Ethiopia,hojii bonsaadha,neutral,0.0,Other
Commercial Bank of Ethiopia,user-friendly apps.because this app is easy.,positive,0.4404,UI/UX
Commercial Bank of Ethiopia,Awosome!!!,neutral,0.0,Other
Commercial Bank of Ethiopia,"Very good app,",positive,0.4927,Other
Commercial Bank of Ethiopia,sync problem may 22 2025 but the date stack on may 8 2025 help pls,positive,0.4854,Customer Support
Commercial Bank of Ethiopia,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,positive,0.4754,Other
Commercial Bank of Ethiopia,I hate this app 😒,negative,-0.5719,Other
Commercial Bank of Ethiopia,trustful,positive,0.4767,Other
Commercial Bank of Ethiopia,I like,positive,0.3612,Other
Commercial Bank of Ethiopia,update issue,neutral,0.0,Other
Commercial Bank of Ethiopia,its not working over safari network,neutral,0.0,Other
Commercial Bank of Ethiopia,it doesn't work,neutral,0.0,Other
Commercial Bank of Ethiopia,"This app is good, and we are using it well",positive,0.6124,Other
Commercial Bank of Ethiopia,very nice 👌 app for android phone,positive,0.4754,Other
Commercial Bank of Ethiopia,Yes Yes,positive,0.6597,Other
Commercial Bank of Ethiopia,በጣም ከርፋፋ,neutral,0.0,Other
Commercial Bank of Ethiopia,easy to use helpful in my life,positive,0.6908,"UI/UX, Customer Support"
Commercial Bank of Ethiopia,good 👍,positive,0.4404,Other
Commercial Bank of Ethiopia,the best mobile banking app,positive,0.6369,Other
Commercial Bank of Ethiopia,"this app is very useful app,it saves time,and it is secure",positive,0.6801,Other
Commercial Bank of Ethiopia,it's a good application 👍,positive,0.4404,Other
Commercial Bank of Ethiopia,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,negative,-0.5836,"Transaction Performance, Feature Requests"
Commercial Bank of Ethiopia,poor service,negative,-0.4767,Other
Commercial Bank of Ethiopia,amazing,positive,0.5859,Other
Commercial Bank of Ethiopia,it is reliable and easy to use.,positive,0.4404,UI/UX
Commercial Bank of Ethiopia,the most annoying mobile banking app I've ever seen,negative,-0.4576,Other
Commercial Bank of Ethiopia,Cbe mobile banking,neutral,0.0,Other
Commercial Bank of Ethiopia,"i can't make Screenshout in this app, please made modification",positive,0.3182,Other
Commercial Bank of Ethiopia,Best app I loved it,positive,0.8442,Other
Commercial Bank of Ethiopia,nice app,positive,0.4215,Other
Commercial Bank of Ethiopia,Amazing applicatiom sometimes doesnt work!,positive,0.6239,Other
Commercial Bank of Ethiopia,well satisfied with this beautiful app,positive,0.8316,Other
Commercial Bank of Ethiopia,very good,positive,0.4927,Other
Commercial Bank of Ethiopia,best app.,positive,0.6369,Other
Commercial Bank of Ethiopia,"not working,why???",neutral,0.0,Other
Commercial Bank of Ethiopia,Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,positive,0.3716,Feature Requests
Commercial Bank of Ethiopia,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,negative,-0.5824,Other
Commercial Bank of Ethiopia,woxe harimo ribiso,neutral,0.0,Other
Commercial Bank of Ethiopia,"Good ,easy to use",positive,0.7003,UI/UX
Commercial Bank of Ethiopia,Good app,positive,0.4404,Other
Commercial Bank of Ethiopia,Good job👍,positive,0.4404,Other
Commercial Bank of Ethiopia,"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",positive,0.7579,"Account Access Issues, Feature Requests"
Commercial Bank of Ethiopia,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,positive,0.7845,"Account Access Issues, Feature Requests"
Commercial Bank of Ethiopia,customer service is bad nothing is good about this bank,negative,-0.7101,Other
Commercial Bank of Ethiopia,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,positive,0.5859,Other
Commercial Bank of Ethiopia,fast and simple easy to use 👌,positive,0.4404,UI/UX
Commercial Bank of Ethiopia,The fastest transferring app I ever had its so reliable,neutral,0.0,Transaction Performance
Commercial Bank of Ethiopia,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",neutral,0.0,Transaction Performance
Commercial Bank of Ethiopia,it's easy and fast,positive,0.4404,UI/UX
Commercial Bank of Ethiopia,This app don't have self activation only you have to look near cbe branch that's disgusting,negative,-0.5267,Other
Commercial Bank of Ethiopia,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,positive,0.9524,Customer Support
Commercial Bank of Ethiopia,wow best application ever,positive,0.8402,Other
Commercial Bank of Ethiopia,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",negative,-0.4871,Other
Commercial Bank of Ethiopia,the pride of Ethiopian bank 🏦,positive,0.34,Other
Commercial Bank of Ethiopia,why the app telling me to turn of developer options please fix it.,positive,0.3182,Feature Requests
Commercial Bank of Ethiopia,i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,positive,0.6115,Transaction Performance
Commercial Bank of Ethiopia,amazing apps,positive,0.5859,Other
Commercial Bank of Ethiopia,All service of Mobile Banking,neutral,0.0,Other
Commercial Bank of Ethiopia,needs improvement,positive,0.4588,Other
Commercial Bank of Ethiopia,i miss the old one i couldn't send my mony to other bank..,negative,-0.1531,Other
Commercial Bank of Ethiopia,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,positive,0.9348,Transaction Performance
Commercial Bank of Ethiopia,good but these week not oky,positive,0.2382,Other
Commercial Bank of Ethiopia,well designed! Fixing bugs & two step verification with biometric... simply it's great!,positive,0.7772,UI/UX
Commercial Bank of Ethiopia,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,positive,0.5307,Other
Commercial Bank of Ethiopia,"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",positive,0.765,Transaction Performance
Commercial Bank of Ethiopia,CBE mobilr bankg,neutral,0.0,Other
Commercial Bank of Ethiopia,verygood,neutral,0.0,Other
Commercial Bank of Ethiopia,ممتاز جدا,neutral,0.0,Other
Commercial Bank of Ethiopia,it's very low quality application,negative,-0.3384,Other
Commercial Bank of Ethiopia,Very Amazing Apps,positive,0.624,Other
Commercial Bank of Ethiopia,wow simple life,positive,0.5859,Other
Commercial Bank of Ethiopia,it's nice,positive,0.4215,Other
Commercial Bank of Ethiopia,Why stacked sometimes,neutral,0.0,Other
Commercial Bank of Ethiopia,okay 👍 but sometimes busy,positive,0.1154,Other
Commercial Bank of Ethiopia,the worst commercial company that fails to do even the most normal things again and and again.,negative,-0.7845,Transaction Performance
Commercial Bank of Ethiopia,Very good app. but disappointed by general cessation of system.,negative,-0.4684,Other
Commercial Bank of Ethiopia,Good and fast,positive,0.4404,Other
Commercial Bank of Ethiopia,Unreliable!,neutral,0.0,Other
Commercial Bank of Ethiopia,Best the best fast,positive,0.8555,Other
Commercial Bank of Ethiopia,fast and reliable,neutral,0.0,Other
Commercial Bank of Ethiopia,network errorrrrrr,neutral,0.0,Other
Commercial Bank of Ethiopia,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,negative,-0.2382,Feature Requests
Commercial Bank of Ethiopia,its good and simple to use,positive,0.4404,Other
Commercial Bank of Ethiopia,worest app like that bank for security and network access,positive,0.5994,Account Access Issues
Commercial Bank of Ethiopia,it's the best app i,positive,0.6369,Other
Commercial Bank of Ethiopia,not bad not good,positive,0.5981,Other
Commercial Bank of Ethiopia,its very nice,positive,0.4754,Other
Commercial Bank of Ethiopia,do not work this week,neutral,0.0,Other
Commercial Bank of Ethiopia,It crashes frequently,neutral,0.0,Other
Commercial Bank of Ethiopia,the best,positive,0.6369,Other
Commercial Bank of Ethiopia,"I can simply describe this app as ""Making all your work easier"".",neutral,0.0,Other
Commercial Bank of Ethiopia,best appearance,positive,0.6369,Other
Commercial Bank of Ethiopia,it's very good 👍 app,positive,0.4927,Other
Commercial Bank of Ethiopia,I need support you,positive,0.4019,Customer Support
Commercial Bank of Ethiopia,the worst Mobile banking i have ever seen in my life,negative,-0.6249,Other
Commercial Bank of Ethiopia,ጠጀጨገጀ።ጀገ,neutral,0.0,Other
Commercial Bank of Ethiopia,i like the app,positive,0.3612,Other
Commercial Bank of Ethiopia,the Best,positive,0.6369,Other
Commercial Bank of Ethiopia,to other bank is bad,negative,-0.5423,Other
Commercial Bank of Ethiopia,tank's,neutral,0.0,Other
Commercial Bank of Ethiopia,its good but add more features such like. bank statement showing,positive,0.6804,Feature Requests
Commercial Bank of Ethiopia,it is so nice,positive,0.5598,Other
Commercial Bank of Ethiopia,Very Good👍,neutral,0.0,Other
Commercial Bank of Ethiopia,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",negative,-0.8797,Transaction Performance
Commercial Bank of Ethiopia,"wow, amazing app",positive,0.8225,Other
Commercial Bank of Ethiopia,use ful,neutral,0.0,Other
Commercial Bank of Ethiopia,Great app,positive,0.6249,Other
Commercial Bank of Ethiopia,well app,positive,0.2732,Other
Commercial Bank of Ethiopia,Actually it is inactive,neutral,0.0,Other
Commercial Bank of Ethiopia,"slow, only one account is used",neutral,0.0,Other
Commercial Bank of Ethiopia,always CBE is the leading Commercial Bank💪💪💪,neutral,0.0,Other
Commercial Bank of Ethiopia,i like it,positive,0.3612,Other
Commercial Bank of Ethiopia,why removing screenshot feature why?,neutral,0.0,Feature Requests
Commercial Bank of Ethiopia,nice apps where network is good in connection,positive,0.6908,Other
Commercial Bank of Ethiopia,Thank you!!!,positive,0.5229,Other
Commercial Bank of Ethiopia,i can't take screenshot,neutral,0.0,Other
Commercial Bank of Ethiopia,"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",positive,0.7823,Feature Requests
Commercial Bank of Ethiopia,perfectly special,positive,0.7845,Other
Commercial Bank of Ethiopia,Fast and Reliable,neutral,0.0,Other
Commercial Bank of Ethiopia,The best application I have ever seen in Ethiopia banking industry.,positive,0.6369,Other
Commercial Bank of Ethiopia,great app!!!,positive,0.7163,Other
Commercial Bank of Ethiopia,because sometimes it doesn't working it load too much,neutral,0.0,Other
Commercial Bank of Ethiopia,"Absolutely the best app! It works flawlessly, anytime and anywhere.",positive,0.7629,Other
Commercial Bank of Ethiopia,very nice app ever!!!,positive,0.6084,Other
Commercial Bank of Ethiopia,the best app,positive,0.6369,Other
Commercial Bank of Ethiopia,Biometric security for mobile banking is not available,positive,0.34,Other
Commercial Bank of Ethiopia,Nice service,positive,0.4215,Other
Commercial Bank of Ethiopia,great app,positive,0.6249,Other
Commercial Bank of Ethiopia,it's special apps,positive,0.4019,Other
Commercial Bank of Ethiopia,"In the updated version of the app, it takes more time to download the receipt.",neutral,0.0,Other
Commercial Bank of Ethiopia,ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,neutral,0.0,Other
Commercial Bank of Ethiopia,Good 🔥,positive,0.4404,Other
Commercial Bank of Ethiopia,very interesting app i am using every day fantastic,positive,0.7645,Other
Commercial Bank of Ethiopia,lebaa bank,neutral,0.0,Other
Commercial Bank of Ethiopia,Can't scan/recognize other banks' Interoperable QR Codes,neutral,0.0,Other
Commercial Bank of Ethiopia,grateful app,positive,0.4588,Other
Commercial Bank of Ethiopia,100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,neutral,0.0,Other
Commercial Bank of Ethiopia,everthing wellbeok,neutral,0.0,Other
Commercial Bank of Ethiopia,"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",positive,0.6486,"Account Access Issues, Feature Requests"
Commercial Bank of Ethiopia,nice app 👌,positive,0.4215,Other
Commercial Bank of Ethiopia,why did this app is not screenshot,neutral,0.0,Other
Commercial Bank of Ethiopia,it so good app,positive,0.4927,Other
Commercial Bank of Ethiopia,"less network, specially to make fee for utility purpose",neutral,0.0,Other
Commercial Bank of Ethiopia,simply for used,neutral,0.0,Other
Commercial Bank of Ethiopia,wow keep up,positive,0.5859,Other
Commercial Bank of Ethiopia,its great app but when updating we can't take screen shot please try to fix it,positive,0.6705,Other
Commercial Bank of Ethiopia,good one,positive,0.4404,Other
Commercial Bank of Ethiopia,everything is easy thank you cebe,positive,0.6597,UI/UX
Commercial Bank of Ethiopia,ፈጣን ቀልጣፋ,neutral,0.0,Other
Commercial Bank of Ethiopia,but this app says can't sync,neutral,0.0,Other
Commercial Bank of Ethiopia,to slow,neutral,0.0,Other
Commercial Bank of Ethiopia,work on screen shot system,neutral,0.0,Other
Commercial Bank of Ethiopia,very very nice aplication,positive,0.5222,Other
Commercial Bank of Ethiopia,wonder full and it is easy to use,positive,0.4404,UI/UX
Commercial Bank of Ethiopia,easy and reliable,positive,0.4404,UI/UX
Commercial Bank of Ethiopia,it is Very Useful app 👍,positive,0.4927,Other
Commercial Bank of Ethiopia,perfect app,positive,0.5719,Other
Commercial Bank of Ethiopia,I like it.,positive,0.3612,Other
Commercial Bank of Ethiopia,commerial Bank,neutral,0.0,Other
Commercial Bank of Ethiopia,Genat biru,neutral,0.0,Other
Commercial Bank of Ethiopia,it is good but it doesn't allow screen shot,neutral,-0.0127,Other
Commercial Bank of Ethiopia,the best one,positive,0.6369,Other
Commercial Bank of Ethiopia,You need to copy many things from other bank apps like Amole(Dashen),positive,0.3612,Other
Commercial Bank of Ethiopia,bring back the screenshot feature.,neutral,0.0,Feature Requests
Commercial Bank of Ethiopia,Good!👍,neutral,0.0,Other
Commercial Bank of Ethiopia,best app to experience him that to smooth transaction among the customers,positive,0.6369,Transaction Performance
Commercial Bank of Ethiopia,nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,positive,0.296,Other
Commercial Bank of Ethiopia,easy to use,positive,0.4404,UI/UX
Commercial Bank of Ethiopia,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",positive,0.9464,UI/UX
Commercial Bank of Ethiopia,ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,neutral,0.0,Other
Commercial Bank of Ethiopia,before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,positive,0.4601,Transaction Performance
Commercial Bank of Ethiopia,cool ❤,positive,0.3182,Other
Commercial Bank of Ethiopia,Best app,positive,0.6369,Other
Commercial Bank of Ethiopia,best banking App,positive,0.6369,Other
Commercial Bank of Ethiopia,satisfied,positive,0.4215,Other
Commercial Bank of Ethiopia,this app is very necessary app many people found it,neutral,0.0,Other
Commercial Bank of Ethiopia,cbe very active Bank I'm using CBE app very very satisfaction,positive,0.7554,Other
Commercial Bank of Ethiopia,It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,positive,0.8104,Transaction Performance
Commercial Bank of Ethiopia,perfect,positive,0.5719,Other
Commercial Bank of Ethiopia,thankyou,neutral,0.0,Other
Commercial Bank of Ethiopia,I Like it,positive,0.3612,Other
Commercial Bank of Ethiopia,"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",positive,0.25,"Account Access Issues, Feature Requests"
Commercial Bank of Ethiopia,smart app,positive,0.4019,Other
Commercial Bank of Ethiopia,isin ga'a,neutral,0.0,Other
Commercial Bank of Ethiopia,it's great,positive,0.6249,Other
Commercial Bank of Ethiopia,very good app and stars faction with work,positive,0.4927,Other
Commercial Bank of Ethiopia,It is excelent,neutral,0.0,Other
Commercial Bank of Ethiopia,በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,neutral,0.0,Other
Commercial Bank of Ethiopia,very interesting app,positive,0.4576,Other
Commercial Bank of Ethiopia,wow.......cbe.....keep it up.....!!!!!!,neutral,0.0,Other
Commercial Bank of Ethiopia,ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,neutral,0.0,Other
Commercial Bank of Ethiopia,Excellent🙏app,neutral,0.0,Other
Commercial Bank of Ethiopia,the most useful,positive,0.4927,Other
Commercial Bank of Ethiopia,I am more satisfied in this app . More sure you have to secure.,positive,0.7956,Other
Commercial Bank of Ethiopia,Easy to use,positive,0.4404,Other
Commercial Bank of Ethiopia,"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",neutral,0.0252,Account Access Issues
Commercial Bank of Ethiopia,Excellent !!!,positive,0.6784,Other
Commercial Bank of Ethiopia,always we relay on,neutral,0.0,Other
Commercial Bank of Ethiopia,I'm lucky to have this🙏 thank you CBE.,positive,0.6486,Other
Commercial Bank of Ethiopia,it's need more improvement like Tellbirr.,positive,0.7245,Other
Commercial Bank of Ethiopia,goode app,neutral,0.0,Other
Commercial Bank of Ethiopia,a very nice app.👍👍👍,positive,0.4754,Other
Commercial Bank of Ethiopia,safe easy & fast,positive,0.7003,UI/UX
Commercial Bank of Ethiopia,it's good app,positive,0.4404,Other
Commercial Bank of Ethiopia,It is veary useful app but screen shout was impossible .solve this problem,negative,-0.2588,Other
Commercial Bank of Ethiopia,እጅግ በጣም ጥሩ አፕ,neutral,0.0,Other
Commercial Bank of Ethiopia,በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,neutral,0.0,Other
Commercial Bank of Ethiopia,suitable app,neutral,0.0,Other
Commercial Bank of Ethiopia,Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,positive,0.5719,Other
Commercial Bank of Ethiopia,best transaction method of financial,positive,0.6369,Transaction Performance
Commercial Bank of Ethiopia,#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,positive,0.5673,Transaction Performance
Commercial Bank of Ethiopia,It literarily don't work at all,neutral,0.0,Other
Commercial Bank of Ethiopia,good give us plus,positive,0.4404,Other
Commercial Bank of Ethiopia,"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",positive,0.7476,Transaction Performance
Commercial Bank of Ethiopia,before update it was able to screenshot while after update I can't able to screenshot the transfere details,neutral,0.0,Transaction Performance
Commercial Bank of Ethiopia,Tnc Cbe,neutral,0.0,Other
Commercial Bank of Ethiopia,it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,positive,0.5778,Other
Commercial Bank of Ethiopia,great apps,positive,0.6249,Other
Commercial Bank of Ethiopia,Excellent,positive,0.5719,Other
Commercial Bank of Ethiopia,Great app!,positive,0.6588,Other
Commercial Bank of Ethiopia,very good 👍 👏,positive,0.4927,Other
Commercial Bank of Ethiopia,great when it works,positive,0.6249,Other
Commercial Bank of Ethiopia,"the app is very good, but why screenshots is impossible?",positive,0.2724,Other
Commercial Bank of Ethiopia,excellent match application,positive,0.5719,Other
Commercial Bank of Ethiopia,The Best app😍😍😍,positive,0.6369,Other
Commercial Bank of Ethiopia,excellent app,positive,0.5719,Other
Commercial Bank of Ethiopia,easy to use and user friendly,positive,0.7269,UI/UX
Commercial Bank of Ethiopia,very nice,positive,0.4754,Other
Commercial Bank of Ethiopia,አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,neutral,0.0,Other
Commercial Bank of Ethiopia,well software,positive,0.2732,Other
Commercial Bank of Ethiopia,ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,neutral,0.0,Other
Commercial Bank of Ethiopia,CBE very good apps,positive,0.4927,Other
Commercial Bank of Ethiopia,"This application fast, secure and more convenient. Thanks CBE",positive,0.6786,Other
Commercial Bank of Ethiopia,excellent service,positive,0.5719,Other
Commercial Bank of Ethiopia,it's best,positive,0.6369,Other
